index,state,year,population
751,VA,2003,58.870979994935425
752,VA,2004,59.765434287161305
753,VA,2005,60.814889845530516
754,VA,2006,62.23649025069638
755,VA,2007,63.953076728285644
756,VA,2008,65.78237528488225
757,VA,2009,67.43552798176754
758,VA,2010,68.96482653836414
759,VA,2011,70.2814130159534
760,VA,2012,71.27872879209927
761,VA,2013,72.27515826791593
762,VA,2014,73.40524183337554
763,VA,2015,74.40686249683465
764,VA,2016,75.55396302861485
765,WA,2000,8.934332490670519
766,WA,2001,9.17325749368003
767,WA,2002,9.21245636210425
768,WA,2003,9.260894426387384
769,WA,2004,9.297249307812688
770,WA,2005,9.328277356446371
771,WA,2006,9.347763934031539
772,WA,2007,9.372998675815577
773,WA,2008,9.381861682918021
774,WA,2009,9.391943541591429
775,WA,2010,9.401965210063802
776,WA,2011,9.418051041290479
777,WA,2012,9.437778379679788
778,WA,2013,9.425198627663416
779,WA,2014,9.42884013482605
780,WA,2015,9.415146864090525
781,WA,2016,9.416907427470807
782,WV,2000,285.9186288376737
783,WV,2001,295.60766286712703
784,WV,2002,299.4576087860887
785,WV,2003,303.13973708295197
786,WV,2004,306.47212746484735
787,WV,2005,310.98989100590734
788,WV,2006,315.21362010150597
789,WV,2007,319.2330892753141
790,WV,2008,322.44779099758716
791,WV,2009,325.8796904900574
792,WV,2010,329.72530992595057
793,WV,2011,333.80497545552873
794,WV,2012,337.06785090273735
795,WV,2013,340.60470921041684
796,WV,2014,343.4504118479075
797,WV,2015,345.9285298277727
798,WV,2016,348.0864880605708
799,WI,2000,106.28828612578012
800,WI,2001,109.13460615236899
801,WI,2002,110.52332065438162
802,WI,2003,111.75355441486022
803,WI,2004,112.70938734812955
804,WI,2005,114.08554599505152
805,WI,2006,115.53796299715647
806,WI,2007,117.63272277410539
807,WI,2008,119.30992651131874
808,WI,2009,121.16826692270763
809,WI,2010,123.11063924074006
810,WI,2011,124.50624099855978
811,WI,2012,126.06593670371875
812,WI,2013,127.3791314302596
813,WI,2014,128.6283097603309
814,WI,2015,130.3137301968315
815,WI,2016,132.34031906643526
816,WY,2000,18.61028086473793
817,WY,2001,18.611238709278734
818,WY,2002,18.55418001297725
819,WY,2003,18.594687567589837
820,WY,2004,18.665557764205452
821,WY,2005,18.70822819358759
822,WY,2006,18.749981976043586
823,WY,2007,18.826403551234385
824,WY,2008,18.889641889734584
825,WY,2009,18.9540955578672
826,WY,2010,19.0309806062229
827,WY,2011,19.097823736005687
828,WY,2012,19.121934639984346
829,WY,2013,19.130586139062547
830,WY,2014,19.103004336048944
831,WY,2015,19.059757140061592
832,WY,2016,18.985220355741404
