index,state,year,no2
483,NH,2006,10.152287100046282
484,NH,2007,8.880728777002492
485,NH,2008,10.882267356253712
486,NH,2009,10.103502805300291
487,NH,2010,10.145665164163653
488,NH,2011,13.200637904551666
489,NH,2012,13.537905696913183
490,NH,2013,10.749036821337247
491,NH,2014,11.676719276815522
492,NH,2015,12.97945589425699
493,NH,2016,9.778413435078571
494,NJ,2000,34.13932062996934
495,NJ,2001,34.28115683197579
496,NJ,2002,32.03868112960736
497,NJ,2003,33.09509078048113
498,NJ,2004,30.19672403194524
499,NJ,2005,31.406403858329785
500,NJ,2006,28.964811476773622
501,NJ,2007,26.73598701702791
502,NJ,2008,25.951818113297932
503,NJ,2009,24.540283347446714
504,NJ,2010,24.30763100308041
505,NJ,2011,27.81583232039249
506,NJ,2012,23.9177495103735
507,NJ,2013,21.65186144012874
508,NJ,2014,23.004911844834577
509,NJ,2015,24.603614977963602
510,NJ,2016,22.521378805616006
511,NM,2000,20.63958108388418
512,NM,2001,20.24995802093314
513,NM,2002,25.98272816607626
514,NM,2003,21.908506962310707
515,NM,2004,20.306343654259315
516,NM,2005,20.383356185908156
517,NM,2006,20.601174822285397
518,NM,2007,15.750399115775133
519,NM,2008,16.227137261533553
520,NM,2009,13.405321321716395
521,NM,2010,13.760171309468424
522,NM,2011,11.038901745719661
523,NM,2012,13.1025479204656
524,NM,2013,12.326667912625878
525,NM,2014,13.114913939065183
526,NM,2015,12.88265276000262
527,NM,2016,11.17789575885176
528,NV,2000,26.26544521376295
529,NV,2001,28.197288439913844
530,NV,2002,28.05038890746191
531,NV,2003,25.698749720292266
532,NV,2004,25.405746490135034
533,NV,2005,27.59403361288805
534,NV,2006,27.16155258984741
535,NV,2007,23.478519029799415
536,NV,2008,28.08105488992575
537,NV,2009,23.63264627975719
538,NV,2010,19.339670254922463
539,NV,2011,20.386279271671086
540,NV,2012,20.784916762470168
541,NV,2013,19.096788070065433
542,NV,2014,20.61506374996295
543,NV,2015,22.24020233086426
544,NV,2016,18.60899427234347
545,NY,2000,27.039458079795686
546,NY,2001,26.289336681733875
547,NY,2002,23.725848360177785
548,NY,2003,25.114331902647166
