STATE,YEAR,no2
VT,2005,7.780268066638623
VT,2006,9.493255905963553
VT,2007,7.860893657764211
VT,2008,9.809901068942123
VT,2009,8.2630873305017
VT,2010,9.257825705215296
VT,2011,10.919326012596654
VT,2012,12.60931504921438
VT,2013,10.333241539715756
VT,2014,11.333488052036879
VT,2015,13.770491409145663
VT,2016,10.35323792728179
WA,2000,25.151929149286413
WA,2001,24.526659480437417
WA,2002,20.611627451048466
WA,2003,17.455012392385623
WA,2004,16.515891113718233
WA,2005,14.987249838596886
WA,2006,10.605655779794237
WA,2007,11.830180907799209
WA,2008,15.027689115010448
WA,2009,13.4463456415992
WA,2010,10.815990460694923
WA,2011,10.14758741178072
WA,2012,11.780908976553821
WA,2013,10.501217273696236
WA,2014,16.039210049594907
WA,2015,17.81497736281944
WA,2016,14.988867477945824
WI,2000,19.318564509836282
WI,2001,18.754531562629833
WI,2002,16.1598109956327
WI,2003,16.13711834814788
WI,2004,12.416500430950935
WI,2005,14.207170164106088
WI,2006,13.840967457382316
WI,2007,10.714233092015947
WI,2008,12.228460747584093
WI,2009,12.28216301075029
WI,2010,12.1911052769043
WI,2011,11.923599282639334
WI,2012,13.097763018333591
WI,2013,13.40900152562446
WI,2014,12.56312721881533
WI,2015,12.589677077130446
WI,2016,12.545611231087477
WV,2000,15.14777097728494
WV,2001,18.54768335806099
WV,2002,18.2452707253087
WV,2003,17.84343901643011
WV,2004,19.164562514004007
WV,2005,13.623496625282785
WV,2006,11.973777512738405
WV,2007,11.332064098962887
WV,2008,11.767118717050257
WV,2009,7.946370566233831
WV,2010,8.227596147189992
WV,2011,11.83082704374556
WV,2012,12.836751573477065
WV,2013,10.105391775593208
WV,2014,11.416656344143862
WV,2015,7.2392058640113
WV,2016,6.926904569383707
WY,2000,12.085571717522113
WY,2001,12.371424034305296
WY,2002,17.044684058332653
WY,2003,16.441972339286714
WY,2004,19.294884820434035
WY,2005,14.070851877703639
WY,2006,13.228285400686847
WY,2007,9.491295143004749
WY,2008,9.23096357168135
WY,2009,7.626811368471318
WY,2010,7.09536815816135
WY,2011,6.139791958587379
WY,2012,8.188433831020387
WY,2013,7.328789719706224
WY,2014,8.065399563896165
WY,2015,6.806475914268111
WY,2016,6.127310476292439
