index,state,year,pm2.5
433,NC,2007,12.15901964497054
434,NC,2008,10.666703439986142
435,NC,2009,10.666703439986142
436,NC,2010,9.744562952085978
437,NC,2011,9.28259423854341
438,NC,2012,8.622147836731196
439,NC,2013,8.068916621861375
440,NC,2014,8.489637944874993
441,NC,2015,8.041696645943883
442,NC,2016,7.798784392216687
443,ND,2000,7.257440204944664
444,ND,2001,7.114610519617124
445,ND,2002,7.0233245171597485
446,ND,2003,7.8629672076983965
447,ND,2004,6.864006445819564
448,ND,2005,7.821641061992309
449,ND,2006,7.536174759455948
450,ND,2007,6.919129969472411
451,ND,2008,7.040176642832196
452,ND,2009,7.040176642832196
453,ND,2010,7.056195792742667
454,ND,2011,6.40979128564871
455,ND,2012,5.996240263682813
456,ND,2013,4.971270454755454
457,ND,2014,5.151021892470426
458,ND,2015,5.913654604582129
459,ND,2016,4.838489273217096
460,NE,2000,8.971461282082823
461,NE,2001,8.521129178362997
462,NE,2002,8.436763424000777
463,NE,2003,8.905709169299506
464,NE,2004,7.68490299263288
465,NE,2005,8.946908310634909
466,NE,2006,7.102966030326703
467,NE,2007,8.480824245129096
468,NE,2008,7.633766730192713
469,NE,2009,7.633766730192713
470,NE,2010,8.57336477422229
471,NE,2011,7.755208665776007
472,NE,2012,7.709130021260179
473,NE,2013,7.848724879800059
474,NE,2014,7.444054437534462
475,NE,2015,6.946843398197003
476,NE,2016,5.9178280858046906
477,NH,2000,7.254584074836518
478,NH,2001,8.192747405023395
479,NH,2002,8.496025667073795
480,NH,2003,7.682555798098915
481,NH,2004,6.881411970590598
482,NH,2005,7.872265005013697
483,NH,2006,7.577076584482993
484,NH,2007,7.5416465067752805
485,NH,2008,6.608150809941069
486,NH,2009,6.608150809941069
487,NH,2010,5.644753904311955
488,NH,2011,5.988797554899589
489,NH,2012,5.334006247804212
490,NH,2013,5.931759057527197
491,NH,2014,5.382142509442749
492,NH,2015,5.085774655315397
493,NH,2016,4.3807660428533675
494,NJ,2000,13.59475244018497
495,NJ,2001,13.754799318131857
496,NJ,2002,12.594764198787617
497,NJ,2003,13.55813494464764
498,NJ,2004,12.656411116987659
499,NJ,2005,12.89085304530855
500,NJ,2006,11.743707341300867
501,NJ,2007,12.121454265981649
502,NJ,2008,10.687276126800995
503,NJ,2009,10.687276126800995
504,NJ,2010,8.95106759095571
505,NJ,2011,9.518103210907686
506,NJ,2012,8.702663831341505
507,NJ,2013,8.885138569295588
508,NJ,2014,8.593780941121752
509,NJ,2015,8.314941112676625
510,NJ,2016,7.490629678944344
511,NM,2000,4.778529262503083
512,NM,2001,4.651583972847281
513,NM,2002,4.641829998974933
514,NM,2003,5.191647504016117
515,NM,2004,4.60809515107363
516,NM,2005,4.443101901008803
517,NM,2006,4.672960486972386
518,NM,2007,4.539487940867668
519,NM,2008,4.449265427872397
520,NM,2009,4.449265427872397
521,NM,2010,3.8321095322634444
522,NM,2011,4.839181944641452
523,NM,2012,5.187736970893889
524,NM,2013,4.777617759458041
525,NM,2014,4.1685394016302055
526,NM,2015,3.747127314892231
527,NM,2016,3.6834492209727205
528,NV,2000,5.776254772671005
529,NV,2001,6.097689520120722
530,NV,2002,6.655646819030275
531,NV,2003,5.9804573764727795
532,NV,2004,5.356580495241048
533,NV,2005,5.568311766179267
534,NV,2006,5.538827858624912
535,NV,2007,6.724249082655326
536,NV,2008,7.458918800527908
537,NV,2009,7.458918800527908
538,NV,2010,5.4142962368128345
539,NV,2011,5.5931481725237315
540,NV,2012,5.699425879080413
541,NV,2013,6.7287973905801435
542,NV,2014,5.59005417893351
543,NV,2015,5.335097209313862
544,NV,2016,4.6978054053967435
545,NY,2000,11.633355312434245
546,NY,2001,12.118577629733815
547,NY,2002,11.453975989496817
548,NY,2003,11.462866259806926
549,NY,2004,10.676556375354947
550,NY,2005,11.378173370906675
551,NY,2006,9.717581977930614
552,NY,2007,10.16915034652758
553,NY,2008,8.934482241277124
554,NY,2009,8.934482241277124
555,NY,2010,7.744353521889565
556,NY,2011,8.279418421426783
557,NY,2012,7.592668207037628
558,NY,2013,7.713109972667236
559,NY,2014,7.059627496530163
560,NY,2015,6.991156609834552
561,NY,2016,5.8106653887591335
562,OH,2000,15.979768498092282
563,OH,2001,15.792852208576694
564,OH,2002,15.625541289442236
565,OH,2003,15.061273200378059
566,OH,2004,14.2396411061136
567,OH,2005,15.123244329650678
568,OH,2006,12.979739888380001
569,OH,2007,13.983052318010273
570,OH,2008,11.795023242787654
571,OH,2009,11.795023242787654
572,OH,2010,12.2377924397449
573,OH,2011,11.345116321156631
574,OH,2012,10.40443333274268
575,OH,2013,10.070295353890229
576,OH,2014,10.461065528418882
577,OH,2015,9.747413218892733
578,OH,2016,8.085704497146056
579,OK,2000,10.444232360390517
580,OK,2001,10.009870625010821
581,OK,2002,9.618815368443023
582,OK,2003,10.268771316818231
583,OK,2004,9.586324614746289
584,OK,2005,10.706949693285123
585,OK,2006,9.060058843804905
586,OK,2007,10.541512413048755
587,OK,2008,9.853131622590613
588,OK,2009,9.853131622590613
589,OK,2010,9.88990907267095
590,OK,2011,9.539623875017185
591,OK,2012,8.889075280899181
592,OK,2013,8.476861166777413
593,OK,2014,8.303135728799292
594,OK,2015,7.030438257155163
595,OK,2016,7.32666080990532
596,OR,2000,5.864546245111917
597,OR,2001,5.203343579963778
598,OR,2002,5.630915871585991
599,OR,2003,5.730806863698325
600,OR,2004,5.563830431010961
601,OR,2005,5.411392605042516
602,OR,2006,5.674587856453662
603,OR,2007,5.112496451557839
604,OR,2008,5.245271866582358
605,OR,2009,5.245271866582358
606,OR,2010,4.164453147730147
607,OR,2011,5.509845378666235
608,OR,2012,5.557193888412987
609,OR,2013,5.814552696055757
610,OR,2014,5.185049657758532
611,OR,2015,6.285018777954325
612,OR,2016,4.1891235867938565
613,PA,2000,13.733629721250898
614,PA,2001,14.574737034297799
615,PA,2002,13.695937674025917
616,PA,2003,13.883831447540384
617,PA,2004,13.599487616554768
618,PA,2005,13.941612507381475
619,PA,2006,12.414593015030825
620,PA,2007,13.264753450082159
621,PA,2008,11.298206907028586
622,PA,2009,11.298206907028586
623,PA,2010,10.42132950534806
624,PA,2011,10.291945018038012
625,PA,2012,9.85433049467502
626,PA,2013,9.807577981748105
627,PA,2014,9.643823057257238
628,PA,2015,9.524660493774567
629,PA,2016,7.783666499704167
630,RI,2000,9.521401647122431
631,RI,2001,10.642113615712004
632,RI,2002,9.457801630089902
633,RI,2003,9.892263616102124
634,RI,2004,9.018736520705074
635,RI,2005,9.351130980802294
636,RI,2006,8.667043798937534
637,RI,2007,8.670671665809465
638,RI,2008,7.6880769948772025
639,RI,2009,7.6880769948772025
640,RI,2010,6.650625452769774
641,RI,2011,7.389085793121828
642,RI,2012,6.5684478373127515
643,RI,2013,6.781130421223506
644,RI,2014,5.632646096522911
645,RI,2015,6.81543469431729
646,RI,2016,5.844802684865665
647,SC,2000,14.324978148204215
648,SC,2001,12.705057297516891
649,SC,2002,12.27219899916934
650,SC,2003,11.896547353555084
651,SC,2004,12.852783357847006
652,SC,2005,12.865804047744978
653,SC,2006,12.304566750119427
654,SC,2007,12.346793022713866
655,SC,2008,10.830192812222137
656,SC,2009,10.830192812222137
657,SC,2010,10.31037873937622
658,SC,2011,10.208077719727227
659,SC,2012,8.860074931439684
660,SC,2013,8.077673728173874
661,SC,2014,8.453128935975002
662,SC,2015,7.653341101527355
663,SC,2016,7.988536935398538
664,SD,2000,7.974506683238597
665,SD,2001,7.7972770933353495
666,SD,2002,7.425428768368798
667,SD,2003,8.319030984745856
668,SD,2004,7.694214966504117
669,SD,2005,8.384822214232175
670,SD,2006,7.890077105888463
671,SD,2007,7.8022321832229435
672,SD,2008,7.158235184527654
673,SD,2009,7.158235184527654
674,SD,2010,7.265696751771853
675,SD,2011,6.30152560944268
676,SD,2012,6.36332809877186
677,SD,2013,6.1537451150763465
678,SD,2014,5.240674110155358
679,SD,2015,5.983466980785493
680,SD,2016,4.8672605374508064
681,TN,2000,15.599204752931847
682,TN,2001,14.10278576471863
683,TN,2002,13.76089564888991
684,TN,2003,13.195109060815328
685,TN,2004,12.698599318069101
686,TN,2005,14.02382077871256
687,TN,2006,12.898466052249189
688,TN,2007,13.314359682782973
689,TN,2008,11.241162310006713
690,TN,2009,11.241162310006713
691,TN,2010,11.146180638228675
692,TN,2011,10.942173604773583
693,TN,2012,9.920612482544332
694,TN,2013,8.68466160675245
695,TN,2014,8.891852333878708
696,TN,2015,8.045399859474069
697,TN,2016,7.781440648980025
698,TX,2000,10.741640385226713
699,TX,2001,10.050995657608972
700,TX,2002,10.42739198469214
701,TX,2003,11.522767827466168
702,TX,2004,10.974345164411503
703,TX,2005,11.497081306229713
704,TX,2006,11.015786387727964
705,TX,2007,10.985844260118432
706,TX,2008,10.57301598296427
707,TX,2009,10.57301598296427
708,TX,2010,9.724225548795241
709,TX,2011,9.85722392658975
710,TX,2012,9.74584352994076
711,TX,2013,9.176125668903836
712,TX,2014,8.93647084556374
713,TX,2015,8.459829086606225
714,TX,2016,7.853966888391743
715,UT,2000,6.192161175199042
716,UT,2001,6.7517740620766835
717,UT,2002,7.01693308346161
718,UT,2003,5.761333870544744
719,UT,2004,7.199250717941363
720,UT,2005,6.118642694057152
721,UT,2006,5.976267161589681
722,UT,2007,6.7476350577642785
723,UT,2008,6.053272788404769
724,UT,2009,6.053272788404769
725,UT,2010,5.910497787206379
726,UT,2011,5.503933007773403
727,UT,2012,5.826579518901995
728,UT,2013,6.94198819394354
729,UT,2014,5.060882514958365
730,UT,2015,4.887342478939791
731,UT,2016,5.0694550797304565
732,VA,2000,13.831117812085129
733,VA,2001,13.486251894981082
734,VA,2002,12.901013372117491
735,VA,2003,12.758599479638393
736,VA,2004,12.946720928938387
737,VA,2005,13.038851222484695
738,VA,2006,12.173908168086584
739,VA,2007,12.20087153799484
740,VA,2008,10.407139315608365
741,VA,2009,10.407139315608365
742,VA,2010,9.708435910653938
743,VA,2011,9.212819626130061
744,VA,2012,8.530516382128923
745,VA,2013,7.82289060499006
746,VA,2014,8.00493617909172
747,VA,2015,7.971248859629276
748,VA,2016,6.938423043970437
749,VT,2000,6.8692551071741015
750,VT,2001,7.738409633221335
751,VT,2002,8.375686604474065
752,VT,2003,7.218817703049752
753,VT,2004,6.7635525004690065
754,VT,2005,7.8300909788328745
755,VT,2006,6.970238892684714
756,VT,2007,7.527261300366536
757,VT,2008,6.64383356746197
758,VT,2009,6.64383356746197
759,VT,2010,5.8554438312492
760,VT,2011,6.152701235070211
761,VT,2012,5.52398265838638
762,VT,2013,5.702666957739633
763,VT,2014,5.127872426283599
764,VT,2015,4.990205700240569
765,VT,2016,4.393468366700693
766,WA,2000,8.19588698940336
767,WA,2001,6.815826676343031
768,WA,2002,6.845565720503619
769,WA,2003,6.677047839058124
770,WA,2004,6.513883868488533
771,WA,2005,5.692990060824469
772,WA,2006,6.260040877010054
773,WA,2007,5.799882263567344
774,WA,2008,5.71259656305314
775,WA,2009,5.71259656305314
776,WA,2010,4.734754268463402
777,WA,2011,5.471629732984307
778,WA,2012,5.432914799066877
779,WA,2013,5.5902239873965005
780,WA,2014,5.581408617507853
781,WA,2015,6.258161587769108
782,WA,2016,4.572633413563949
783,WI,2000,10.523014294707211
784,WI,2001,10.917800492382995
785,WI,2002,10.706757576888048
786,WI,2003,10.28029516948719
787,WI,2004,9.787103864848254
788,WI,2005,10.642656500289643
789,WI,2006,10.587410768657842
790,WI,2007,10.977325231462993
791,WI,2008,10.622393856498038
792,WI,2009,10.622393856498038
793,WI,2010,8.927514596782178
794,WI,2011,8.706175737485587
795,WI,2012,7.903366445481908
796,WI,2013,7.607348488407406
797,WI,2014,7.901960877917292
798,WI,2015,7.632813781550543
799,WI,2016,6.538968086884007
800,WV,2000,13.687055339977073
801,WV,2001,13.454924797433229
802,WV,2002,13.40921876338021
803,WV,2003,12.56536631962884
804,WV,2004,12.383962002657187
805,WV,2005,12.68201475815893
806,WV,2006,11.592097002704664
807,WV,2007,13.53522032625018
808,WV,2008,10.044639496272747
809,WV,2009,10.044639496272747
810,WV,2010,9.639961730868846
811,WV,2011,8.918398798654382
812,WV,2012,8.279640608124327
813,WV,2013,7.564410960606627
814,WV,2014,7.5921174571751955
815,WV,2015,7.387976841452462
816,WV,2016,6.45194042480713
817,WY,2000,4.485482708888337
818,WY,2001,4.448824035666919
819,WY,2002,4.471801342168275
820,WY,2003,4.723866558622216
821,WY,2004,4.125007230632076
822,WY,2005,4.013905891312191
823,WY,2006,4.702770910734939
824,WY,2007,4.530846661340454
825,WY,2008,4.067601043711055
826,WY,2009,4.067601043711055
827,WY,2010,3.4685436393193076
828,WY,2011,3.677788175681577
829,WY,2012,4.9179552226252365
830,WY,2013,3.7205035714450894
831,WY,2014,3.3494082941525654
832,WY,2015,3.616357325453855
833,WY,2016,3.5320692717429014
