index,state,year,coal
2551,MA,2016,1.92204441
2552,MI,2016,44.94806845740366
2553,MN,2016,24.96111944333333
2554,MS,2016,5.849679513333332
2555,MO,2016,61.13876241
2556,MT,2016,15.47310009666666
2557,NE,2016,22.97503087
2558,NV,2016,2.93898935
2559,NH,2016,0.5042349399999999
2560,NJ,2016,1.667883433333333
2561,NM,2016,18.83173871333333
2562,NY,2016,2.82283722224822
2563,NC,2016,36.47643119999999
2564,ND,2016,37.69281178666667
2565,OH,2016,78.51193036288224
2566,OK,2016,21.19660392666666
2567,OR,2016,1.8575568
2568,PA,2016,69.73400395909037
2569,RI,2016,0.0
2570,SC,2016,21.19901135
2571,SD,2016,2.547070386666666
2572,TN,2016,36.28320963666666
2573,TX,2016,126.4260524266667
2574,UT,2016,25.70393023
2575,VT,2016,0.0
2576,VA,2016,21.1923647454351
2577,WA,2016,5.092976863333333
2578,WV,2016,71.79092521341028
2579,WI,2016,34.1424754
2580,WY,2016,43.69441662666667
